,공원명,지역,위도,경도
0,남산도시자연공원,중구,37.5501402,126.9903773
1,길동생태공원,강동구,37.5403935,127.1547791
2,서울대공원,과천시,37.4264494,127.0198465
3,서울숲,성동구,37.5430717,127.0417982
4,월드컵공원,마포구,37.571805,126.878907
5,광화문시민열린마당,종로구,37.5750449,126.9780227
6,진관근린공원(구파발폭포),은평구,37.6370244,126.9192155
7,중마루근린공원,영등포구,37.519832,126.9112668
8,응봉공원,성동구,37.5572281,127.0217653
9,매화근린공원,강서구,37.5575833,126.86115
10,성수근린공원,성동구,37.5448144,127.0524023
11,샛마을근린공원,강동구,37.5504807,127.1471618
12,여의도근린공원,영등포구,37.526129,126.922377
13,간데메근린공원,동대문구,37.57324379999999,127.0488644
14,훈련원근린공원,중구,37.5675245,127.0038188
15,영등포근린공원,영등포구,37.515423,126.91066200000002
16,보라매근린공원,동작구,37.492333,126.918289
17,어린이대공원,광진구,37.5498987,127.0809212
18,천호근린공원,강동구,37.5444741,127.1263451
19,용산가족공원,용산구,37.522226,126.983335
20,독립근린공원,서대문구,37.5738289,126.956771
21,낙산근린공원,종로구,37.580477,127.00758700000002
22,양재시민의숲,서초구,37.471225,127.035042
23,관악산도시자연공원,관악구,37.445208,126.96413
24,효창근린공원,용산구,37.545234,126.95993
25,감로천생태공원(관악산),금천구,37.469625,126.9079509
26,개운산근린공원,성북구,37.5965837,127.0252858
27,개웅산근린공원,구로구,37.4888943,126.84857340000002
28,경희궁,종로구,37.570773,126.9685341
29,국립현충원,동작구,37.4998621,126.9736849
30,계남근린공원,양천구,37.5138358,126.8479643
31,고척근린공원,구로구,37.5042944,126.8521495
32,파리근린공원,양천구,37.5349739,126.8763932
33,허준공원,강서구,37.5679874,126.8526745
34,궁동근린공원,서대문구,37.5690506,126.9229851
35,궁산근린공원,강서구,37.5735645,126.838952
36,까치산근린공원,동작구,37.4845836,126.9640735
37,꿩고개근린공원,강서구,37.5801585,126.8157075
38,노량진공원,동작구,37.510234,126.928607
39,답십리근린공원,동대문구,37.5750896,127.0626512
40,대모산도시자연공원,강남구,37.4796489,127.0809639
41,탑골근린공원,종로구,37.5710052,126.9882853
42,갈산근린공원,양천구,37.5082119,126.8689146
43,천마근린공원,송파구,37.5005173,127.1586644
44,도곡근린공원,강남구,37.4903127,127.0450338
45,도산근린공원,강남구,37.5246752,127.0350296
46,청량공원,성북구,37.6020055,127.0511145
47,초안산근린공원,도봉구,37.648316,127.0455446
48,동명근린공원,강동구,37.5598341,127.1676703
49,마로니에공원,종로구,37.5802295,127.0027886
50,자매근린공원,영등포구,37.5177329,126.9302895
51,장지근린공원,송파구,37.4957083,127.1387
52,명일근린공원,강동구,37.5537143,127.1613641
53,방화근린공원,강서구,37.5819812,126.8132285
54,아시아근린공원,송파구,37.5102779,127.0762885
55,배봉산근린공원,동대문구,37.5812324,127.0641623
56,안산도시자연공원,서대문구,37.5798246,126.9390273
57,염창근린공원,강서구,37.55797020000001,126.8689817
58,백련근린공원,서대문구,37.5879662,126.928616
59,오금근린공원,송파구,37.5038715,127.1323957
60,오동근린공원,강북구,37.6327957,127.0317269
61,봉산도시자연공원,은평구,37.604071000000005,126.9020153
62,온수도시자연공원,구로구,37.5002598,126.83695
63,봉은공원,강남구,37.5139026,127.05549609999998
64,올림픽공원,송파구,37.520934,127.122959
65,와룡근린공원,종로구,37.59079439999999,126.9901672
66,봉화산근린공원,중랑구,37.6106404,127.0923625
67,북악산도시자연공원,종로구,37.5929992,126.9737295
68,북한산국립공원,강북구,37.624549,127.000938
69,외국인묘지공원,마포구,37.546797,126.911414
70,불광근린공원,은평구,37.6188016,126.9298962
71,불암산도시자연공원,노원구,37.6636719,127.09527140000002
72,용마폭포공원,중랑구,37.5731968,127.0905888
73,사육신공원,동작구,37.5137049,126.948636
74,용왕산근린공원,양천구,37.5429593,126.8783125
75,사직근린공원,종로구,37.5759864,126.9674018
76,우장산근린공원,강서구,37.5541932,126.844932
77,삼일근린공원,동작구,37.4860183,126.9743686
78,삼청근린공원,종로구,37.5895821,126.9842875
79,인왕산도시자연공원,종로구,37.5849001,126.9578438
80,상도근린공원,동작구,37.492299,126.9385469
81,일자산도시자연공원,강동구,37.5431657,127.1574587
82,쌍문근린공원,도봉구,37.6531456,127.0271316
83,수락산도시자연공원,노원구,37.699232,127.0813633
84,송파나루근린공원(석촌호수),송파구,37.5069328,127.0983002
85,선유도근린공원,영등포구,37.543418,126.90014
86,손기정체육공원,중구,37.5560189,126.9652702
87,성북근린공원,성북구,37.5948509,127.0078625
88,봉제산공원,강서구,37.5421979,126.8517836
89,서울창포원,도봉구,37.689585,127.047938
90,북서울꿈의숲,강북구,37.6233355,127.0407344
91,서서울호수공원,양천구,37.5278392,126.83047890000002
92,중랑캠핑숲,중랑구,37.6049896,127.1093075
93,솔밭근린공원,강북구,37.652331,127.0116241
94,금천체육공원(관악산),금천구,37.468164,126.908681
95,금천폭포근린공원,금천구,37.4468663,126.9040127
96,만수천공원(관악산),금천구,37.4734274,126.9090028
97,발바닥공원,도봉구,37.6597135,127.031982
98,월천근린공원,도봉구,37.6473889,127.0509895
99,용두근린공원,동대문구,37.5732791,127.0390042
100,상암근린공원,마포구,37.5760106,126.8859012
101,와우근린공원,마포구,37.5517298,126.9289936
102,금호근린공원,성동구,37.5494726,127.0189457
103,달맞이근린공원,성동구,37.543564,127.0212054
104,문정근린공원,송파구,37.4862156,127.1275819
105,문화예술공원,서초구,37.467654,127.030517
106,세종로공원,종로구,37.5735,126.9758875
107,샘말공원(관악산),관악구,37.4642128,126.938511
108,초안산생태공원,도봉구,37.6479483,127.0405382
109,푸른수목원,구로구,37.483029,126.82407
110,서오능도시자연공원,은평구,37.6374823,126.9134338
111,청계산도시자연공원,서초구,37.4224347,127.0424726
112,개화근린공원,강서구,37.581391700000005,126.8068278
113,아차산생태공원,광진구,37.551714200000006,127.1010031
114,인능산도시자연공원,서초구,37.4482109,127.0666632
115,구룡산,서초구,37.4689473,127.061567
116,우면산도시자연공원,서초구,37.470484,127.0091324
117,향림근린공원,은평구,37.6293824,126.9240693
118,신사근린공원,은평구,37.5920771,126.9102948
119,문화역 서울284,중구,37.5558722,126.9715923
120,광평근린공원,강남구,37.4880445,127.092184
121,청담근린공원,강남구,37.5213259,127.052453
122,허브천문공원,강동구,37.5372715,127.15339509999998
123,연신내물빛공원,은평구,37.619052,126.9207354
124,나들이근린공원,중랑구,37.6054218,127.113261
125,숭인근린공원,종로구,37.5764419,127.0178267
126,서일대뒷산공원,중랑구,37.5877155,127.0987817
127,용마도시자연공원(사가정공원),중랑구,37.579762200000005,127.095997
128,문화비축기지,마포구,37.57171848,126.8932455
129,경춘선숲길,,37.627077,127.076482
130,율현공원,강남구,37.472332,127.115594
